Source_id,Title,Time,Author,Content,Other_picture
56128218048,半導體業超高薪職務出爐 連下游國內業務月薪都有近6萬,2024/09/10 11:03:32,經濟日報 記者葉卉軒／台北即時報導,"http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1AI熱潮爆發，明顯帶動半導體薪資成長。104人力銀行10日發布最新資料顯示，觀察近10年20萬筆半導體產業求職會員薪資，2024年平均月薪5.9萬。 圖／聯合報系資料照片
AI熱潮爆發，明顯帶動半導體薪資成長。104人力銀行10日發布最新資料顯示，觀察近10年20萬筆半導體產業求職會員薪資，2024年平均月薪5.9萬，在63個產業中，僅次於電腦及消費性電子製造業、排行全產業第二。 若依地區，北部半導體平均月薪突破6萬、中南部逾5萬；依職務，上游產業的類比IC設計工程師平均月薪逾10萬，下游產業的國內業務平均月薪5.8萬，擠進下游產業的前五大高薪職務，也為非理工科系最有機會切入的半導體高薪職務。 104人力銀行大數據顯示，2024年半導體平均月薪5.9萬，年增幅4.6%，高於去年增幅2.8%，2024年半導體景氣回溫加上AI帶動產業應用發展，企業留才攬才更願意提升從業人員薪資；看長期，近五年半導體業薪資增幅15%，居五大高薪產業（電腦及消費性電子製造、鞋類/紡織製品製造、投資理財、軟體網路業）的最大增幅，顯見半導體產業依舊為近年台灣經濟的重要支柱。 此外，104人力銀行大數據還顯示，2024年半導體各地區平均月薪，北部6.2萬最高，中部5.3萬，南部5.4萬；各區增幅，受惠於2023年南科產值超越竹科，南部半導體薪資年增幅5.5%居各區之冠。 至於在半導體產業鏈上中下游的15個高薪職務中，有14個為工程師，以上游類比IC設計工程師平均月薪10.4萬最高，在上、中游從事類比或數位IC設計職務，薪資可達9.2萬以上；演算法開發工程師薪資9.2萬，與2023年平均月薪8.4萬相比，薪資成長近10%；唯一非工程師的職務為下游國內業務，薪資5.8萬，是非理工科系投入半導體爭取高薪的切入點。 半導體上中下游前五大高薪職務。 圖／104人力銀行提供 $(document).ready(function () {nstockStoryStockInfo();});",['https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/09/10/realtime/30477043.png&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600']
56128218004,iPhone 16來了 遠傳同步 Apple 官網 13日開放預購　,2024/09/10 10:49:08,經濟日報 記者黃晶琳／台北即時報導,http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1蘋果iPhone16系列於台灣時間10日凌晨正式發表，今年預計推出包含iPhone 16、iPhone 16 Plus、iPhone 16 Pro、iPhone 16 1Pro Max 4款全新機型，預料將再掀起年度換機熱潮，遠傳電信宣布，同步Apple官網，於9月13日晚上8時起開放預購，遠傳也從今日上午11時起，推出限時24小時快閃調查，只需線上完成今年最愛iPhone 16機款問卷，就有機會獲得最新iPhone16。 遠傳電信資深副總趙憶南表示，這次iPhone 16系列價格不變，在硬體規格上提升還超有感，且未來將陸續新增多項Apple Intelligence功能，讓使用者在日常生活中能夠享受到更智慧、更便捷的使用體驗，預計將會再掀起一波年度換機大熱潮，帶動4G升級5G的需求，且過往遠傳iPhone新機到貨比市場充足，可以滿足客戶需求。全新款iPhone、搭配遠傳優質的網路、超強最新功能，三個願望一次全滿足，才是最完美的體驗。遠傳在5G網路的優勢，包含經國際機構認證的世界級網速，以及合併亞太後擁有的業界最大5G頻寬，會是消費者使用iPhone的最佳拍檔。 全新iPhone 16全面使用A18晶片處理器，iPhone 16 Pro/Pro Max則搭載A18 Pro晶片，全面支援 「Apple Intelligence」AI功能，強力驅動新一代的相機功能，而超高能源效率讓電池續航力更持久。iPhone 16全系列搭載48MP主相機，並新增「Capture Button相機控制鍵」全新設計，橫向模式拍照時更便利，可按壓或滑動來啟動不同功能，如拍照、拍片，取景時半按亦可打開新選頂介面，讓拍攝更精準。 同時，iPhone 16 Pro 系列，沿用鈦金屬設計，並帶來四大配色，其中全新「沙漠色鈦金屬」暖色調配色，特別引人矚目；而iPhone 16採用鋁金屬機身，除基本色白色、黑色外，還有「湛海藍」、「湖水綠」和「粉紅」三種新配色。今年新機更迎來史上最大螢幕，iPhone 16 Pro升級更大的 6.3 吋螢幕（原本6.1 吋），而 iPhone 16 Pro Max 螢幕則將增至 6.9 吋（原本6.7 吋），適合愛看影片和玩遊戲的用戶。 $(document).ready(function () {nstockStoryStockInfo();});,
56128218002,獨家／仁寶「調薪」開獎！「2部分」全員都有、幅度曝光,2024/09/10 10:48:30,經濟日報 記者吳康瑋／台北即時報導,"http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1仁寶。記者吳康瑋／攝影
國內每家科技大廠的「調薪時間」及「調薪幅度」幾乎都不太一樣，而近年積極朝AI伺服器市場發展的代工大廠仁寶 （2324） 則傳出已於10日啟動「全員調薪」的消息，並且調整完成的薪資，也已完成入帳。面對調薪傳聞，發言體系也向《經濟日報》證實，仁寶調薪的時間一般都是在9月左右，並且可分為全公司2-4%的固定調薪、以及不同部門不同比例的個人績效，共計兩個部分。 科技業工作壓力普遍高於一般上班族，且因工時較長、也常被外界冠上「爆肝」一詞來形容，不過長時間的付出，也讓從事科技業的人才，擁有相對誘人的薪資水準。一般而言，科技大廠年終加底薪、最少都至少可以領到14-15個月的薪資水準，不過業內人士透露，真正的看點在於每年發放的「分紅獎金」以及「調薪水準」，惟有上調自己的基礎薪資，才能真正讓人有感。 仁寶一向將每位員工視為家人，除了所有員工薪資都以「同工同酬」及工作績效為核給原則，依個人學歷、經歷及賦予的職等、職稱與工作性質核給不同薪資外，還會依年度獲利狀況給予員工利潤分紅，每年全員更享有固定調薪，以及資深員工獎金。發言體系坦言，公司相當重視人才培育與員工福利，並堅持一定要與員工分享經營成果，每位員工依照工作表現，平時就可領到績效、分紅獎金，以及穩定的調薪。 根據仁寶官網揭露的薪資福利資訊顯示，集團所有員工的薪資報酬，原則上都包含12個月薪資、年中獎金等部分，並依據公司經營成果及員工個人績效發給年終獎金及調整薪資2~4%。而依公司章程規定，團隊每年度如有獲利，應以扣除員工酬勞及董事酬勞前之本期稅前淨利，提撥不低於2%為員工酬勞，上述獎金、調整薪資及員工酬勞均提報薪資報酬委員會審議及董事會議決。 據內部人士透露，除了每個人都享有的固定調整2%-4%之外，最終實際的調薪幅度，也受到「年資/考績」很大程度的影響，並且還需要考量不同「級職」的區別，而個人考績也代表自己去年一整年當中，付出一切努力所獲得的成果，多劃分為「A、B、C」三個等地，因此幾乎所有人的調薪幅度都各有不同，此外若是級職上獲得升職，月薪就會上調10%左右，因此個人平時的努力付出，仍然是非常的重要。 $(document).ready(function () {nstockStoryStockInfo();});",
56128217993,iPhone 16秀 AI 效能 分析師：鴻海組裝占比拚6成,2024/09/10 10:45:32,中央社 記者鍾榮峰台北10日電,"http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1鴻海集團。記者吳康瑋／攝影
蘋果（Apple）今天推出內建人工智慧（AI）功能的iPhone 16手機系列，分析師預估，今年iPhone 16系列出貨量上看8900萬支，其中iPhone 16 Pro和Pro Max高階版占比達68%，鴻海仍是最大組裝代工廠，生產比重上看6成。 蘋果今天發表新一代iPhone 16智慧型手機系列，包括iPhone 16、iPhone 16 Plus、iPhone 16 Pro、 iPhone 16Pro Max，首度整合自行研發的智慧系統AppleIntelligence。 展望iPhone 16系列出貨進展，天風國際證券分析師郭明錤9日預估，iPhone 16系列8月與9月出貨分別約900萬支與1600萬支，今年出貨量可從原先預期的8700萬支至8800萬支，微幅上修至8800萬支至8900萬支，主要是iPhone 16小幅增加訂單。 從出貨比重來看，郭明錤預估，iPhone 16出貨占比約26%，iPhone 16 Pro占比約30%，iPhone 16 Pro Max占比約38%。 觀察iPhone 16系列組裝代工供應鏈，郭明錤表示，鴻海仍是組裝代工最大供應商，預期生產比重約55%至60%。 美系法人日前評估，鴻海占整體iPhone 16系列組裝代工比重約60%，iPhone 16 Pro系列旗艦機種出貨占比超過50%。 鴻海日前表示，最近幾個月包括手機和其他產品旺季活動準備如常，下半年旺季期間營運將逐漸加溫，預期第3季營運可季增及年增，目前能見度更佳。 $(document).ready(function () {nstockStoryStockInfo();});",
56128217990,家登8月營收創同期新高 全年挑戰高峰,2024/09/10 10:45:30,中央社 記者張建中新竹10日電,http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1家登自結8月營收新台幣6.46億元，月增約1.2%，年增45%，並創同期新高；累計前8月營收44.61億元，年增38%。家登預期，今年總營收可望挑戰新高。 家登表示，下半年旺季營運動能強勁，在半導體先進製程及人工智慧（AI）熱潮下，旗下光罩和晶圓載具出貨暢旺，是業績成長主要動能。 展望未來，家登指出，高數值孔徑極紫外光（High-NA EUV）光罩盒需求量將持續增長，晶圓載具市占率也將不斷攀升。 此外，航太領域布局將開花結果，家登表示，CoWoS先進封裝方案及浸潤式散熱技術也將注入成長動能，預期2025年集團營收將挑戰100億元大關。 $(document).ready(function () {nstockStoryStockInfo();});,
56128217960,台虎十年 隨10起航,2024/09/10 10:35:34,經濟日報 記者黃淑惠／台北即時報導,http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1「台虎十年、隨10起航」今「2024年」9月26日正式迎來開航10週年的台灣虎航，10日宣布將於9月份推出一系列的週年慶活動，活動內容包括天天簽到10在好賺、玩IG濾鏡抽虎禮、實體快閃活動抽10張機票等，送好送滿的各種優惠好康，準備和虎迷們一起歡慶整個9月。 首波主打推出「天天簽到10在好賺」和「玩IG濾鏡抽虎禮」活動，邀請虎迷們一起來慶生倒數！「天天簽到10在好賺」活動時間自2024年9月12日10:00 起至 2024年9月21日晚間23:59止，凡具備tigerclub 會員資格者，皆可於活動期間至指定活動網頁登錄會員相關資料，並參加每日問答，答對者即可進行當日簽到。 在10天之活動期間，只要簽到日累積滿5天者即可獲得300元回饋金，滿8天者可獲得500元回饋金，滿10天者可獲得 999元回饋金。而「玩IG濾鏡抽虎禮」則是兩人一組玩濾鏡默契大考驗，即日起至2024年9月26日晚間23:59止期間，把遊戲結果截圖上傳至台灣虎航官方粉絲團的活動貼文留言處，就有機會獲得精選好禮。同時，虎禮選平台也推出多種台灣虎航logo新商品，以滿滿的活力設計來陪伴虎迷的每一趟旅程。 實體的熱血活動當然也不能少，將號召虎迷們於2024年9月25日到指定快閃地點集合，當天預計抽出2024年9月26日限定出發之限定航點來回機票共計10張。 另外，為答謝虎迷們一路以來的支持，同步推出為期一年的「尊榮虎搭10送1」獎勵計畫。凡為台灣虎航tigerclub會員，於2024年1月1日至2025年9月25日止，會員記錄中完成搭乘台灣虎航任一航班且累計滿10趟次(即10個單程，如記錄中為1組來回機票，會直接判定為2趟次)，即可獲贈1組機票兌換序號；累計滿20趟次，即可獲贈2組機票兌換序號，依此類推；以感謝虎迷們的支持。 台灣虎航自2014年9月26日開航第一條航線以來，目前共飛航日本、韓國、澳門、泰國及越南等地區，更是飛航日本、韓國最多航點的國籍航空。,
56128217916,綠能、半導體擴廠 第2季製造業增購固定資產年增13%,2024/09/10 10:21:16,中央社 記者劉千綾台北10日電,http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1在半導體擴廠動能、綠能及電力工程推展挹注下，經濟部統計處表示，113年第2季製造業國內固定資產增購達新台幣4822億元，年增13.1%，結束連續5季負成長，以電子零組件業增購3276億元為最大宗。 經濟部統計處今天發布113年第2季製造業投資及營運概況調查統計，依照固定資產型態區分，113年第2季以機械及雜項設備增購占80.1%最多，年增15.7%；其次為房屋及營建工程占19.1%，年增2.7%。 就行業別觀察，電子零組件業第2季固定資產增購3276億元，占製造業67.9%居各業之冠，年增26.3%，主因半導體廠商因應AI商機與新興科技等應用強勁需求，加速擴充先進製程與高階封測產能。 由於去年比較基期較高等因素，化學材料及肥料業增購208億元，年減27.5%；石油及煤製品業增購166億元，年減22.5%。在減碳趨勢下，鋼鐵大廠持續投入環保改善工程及汰換設備，推升基本金屬業增購124億元，年增3%。 電腦電子產品及光學製品業方面，增購114億元，年減9.9%，主因去年同期部分廠商因應網通、伺服器等需求成長，擴建廠房及產能，相關資本支出較高所致。 電力設備及配備業增購112億元，年增73.5%。統計處說明，主因為應綠能、強韌電網及電力系統改善工程等需求，相關電池及電力設備廠商擴增產能。 此外，半導體設備、自動化需求增溫，相關業者擴建廠房及產線因應，推升機械設備業增購98億元，年增9.5%。 營收方面，在人工智慧、高效能運算及雲端服務商機持續拓展挹注下，113年第2季製造業營業收入（含海外生產之收入）8兆302億元，季增8.9%，年增8.1%，結束連續6季負成長。 展望未來，統計處表示，半導體供應鏈為維持技術領先優勢，持續擴充高階產能，以及全球終端商品需求改善，有利帶動企業投資意願回升，加以淨零轉型及產業自動化、數位化投資趨勢延續，均可望挹注製造業投資動能；但全球經濟成長表現續受主要國家利率政策發展、美中科技爭端及地緣政治風險等不確定因素干擾，仍需持續關注並審慎因應。 $(document).ready(function () {nstockStoryStockInfo();});,
56128217836,iPhone 16內建AI功能 蘋概股早盤表現平淡,2024/09/10 10:00:39,中央社 記者鍾榮峰台北10日電,http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1蘋果（Apple）今天推出內建人工智慧（AI）功能的iPhone 16系列手機，大部分蘋果概念股今天早盤表現平淡，台積電早盤持穩，台達電、日月光投控勁揚，鴻海、和碩守平盤。 蘋果今天發表新一代iPhone 16系列智慧型手機，包括iPhone 16、iPhone 16 Plus、iPhone 16 Pro、 iPhone 16Pro Max，首度整合自行研發的智慧系統AppleIntelligence。新機內建A18晶片，其中iPhone 16 Pro系列搭載A18 Pro晶片，均可實現更快的AI效能。 不過iPhone新品發布並未激勵蘋概股表現，早盤股價淡定，主要組裝代工夥伴鴻海在平盤172元附近整理，和碩維持平盤100元，鏡頭廠商玉晶光小漲、大立光開高走低翻黑。機殼廠可成和鴻準、面板驅動晶片封測供應商頎邦小漲，石英元件廠晶技跌1.3%。 A18晶片晶圓代工龍頭台積電早盤重返900元大關，來到906元，小漲0.78%。電源供應商台達電早盤漲1.5%。系統級封裝（SiP）供應商日月光投控早盤勁揚近2.5%。被動元件廠國巨小漲。 市場人士評估，A18晶片採用台積電3奈米高階晶圓製程製造；大立光和玉晶光是iPhone 16系列潛望式鏡頭主要供應商。 此外，IC載板廠景碩、南電、欣興、印刷電路板供應商臻鼎-KY、華通、砷化鎵廠穩懋等，市場預期也持續切入iPhone 16系列供應鏈。 $(document).ready(function () {nstockStoryStockInfo();});,
56128217773,精成科技旗下ELNA馬來西亞PCB新廠今日落成 強攻伺服器,2024/09/10 09:41:29,經濟日報 特派記者李孟珊／檳城10日電,"http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1PSA精成科技旗下ELNA馬來西亞PCB新廠今日落成。記者李孟珊／攝影。
PSA華科事業群旗下精成科技 （6191） 之印刷電路板製造廠ELNA，在10日於馬來西亞檳城舉行新廠落成典禮，由PSA華科事業群董事長焦佑衡、PSA PCB事業群總經理陶正國、ELNA社長楊其荺偕同經營幹部主持。新廠第一期產能將生產30萬平方英呎，供應汽車、伺服器、網絡設備、個人運算及消費性電子產品等，隨著高品質及先進PCB需求日益增長，預估未來滿產能可達到100萬平方英呎。 焦佑衡表示，ELNA 2018年加入PSA華科事業群，2022年至今在馬來西亞投入超過10億馬幣，在檳城現有廠房旁興建一座五層樓的PCB製造廠，生產高品質及先進的印刷電路板，新廠第一期產能將生產30萬平方英呎，供應汽車、伺服器、網絡設備、個人運算及消費性電子產品等，隨著高品質及先進PCB需求日益增長，預估未來滿產能可達到100萬平方英呎。 ELNA楊其荺社長指出，原有廠房仍會持續製造雙面及多層印刷電路板，新廠增加先進產能，係為滿足客戶對供應商地理製造多樣化、供應鏈彈性的需求。 據悉，馬來西亞是全球第六大半導體出口國，檳城是馬來西亞半導體產業主要重鎮，擁有完善的工業生態系統、豐富的人才庫及有利的商業環境。目前進駐馬來西亞以半導體封裝與測試廠為大宗，佔全球市場13%，ELNA選擇於檳城續新建PCB廠房，有望為檳城建構更完整的電子製造供應鏈。 此次在馬來西亞新建第二座PCB廠房擴大產能，將移轉先進的製造技術，培養本地PCB尖端技術人才，創造超過1,000個額外就業機會。檳城州曹觀友首席部長致詞強調，ELNA新廠落成對檳城是一個重要的里程碑，檳城將繼續努力鞏固在電子製造領域的全球領導地位。 PSA華科事業群積極佈局全球，包含旗下精成科技、釜屋電機、閎暉實業 （3311） 在馬來西亞、日本等地投資，設立被動元件、印刷電路板、EMS代工工廠等，集團PCB總經理陶正國進一步說，PSA致力為全球客戶提供一站式的產業最佳解決方案，ELNA新廠落成啟用是PCB事業群重要的里程碑，期待能提供更多元且優質的產品和服務。 PSA精成科技旗下ELNA馬來西亞PCB新廠今日落成。記者李孟珊／攝影。 PSA精成科技旗下ELNA馬來西亞PCB新廠今日落成。記者李孟珊／攝影。 PSA精成科技旗下ELNA馬來西亞PCB新廠今日落成，董事長焦佑衡出席。記者李孟珊／攝影。 PSA精成科技旗下ELNA馬來西亞PCB新廠今日落成。記者李孟珊／攝影。 PSA精成科技旗下ELNA馬來西亞PCB新廠今日落成。記者李孟珊／攝影。 $(document).ready(function () {nstockStoryStockInfo();});","['https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/09/10/realtime/30476369.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600', 'https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/09/10/realtime/30476370.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600', 'https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/09/10/realtime/30476371.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600', 'https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/09/10/realtime/30476372.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600', 'https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/09/10/realtime/30476373.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600']"
56128217724,鋒魁邁向國際化 搶攻歐美半導體商機,2024/09/10 09:10:33,經濟日報 記者李珣瑛／新竹即時報導,"http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1鋒魁科技總經理林千惠（前排右四）日前受新東向聯盟（TeaLa）邀請參加台灣半導體產業考察團，前往捷克進行深入考察。圖／業者提供
鋒魁 （7530） 科技日前造訪捷克，探詢歐洲半導體復興商機，展現積極推動國際連結的決心，隨著台灣半導體供應鏈的全球化步伐日益加快，鋒魁正不斷擴大其國際觸角。 8月下旬，鋒魁科技總經理林千惠受新東向聯盟（TeaLa）邀請參加台灣半導體產業考察團，前往捷克進行深入考察，探討中東歐及整個歐盟半導體市場的發展潛力。林千惠表示，捷克作為歐洲科技發展的重要樞紐，憑藉其優越的地理位置及高素質人才，為半導體產業鏈提供了理想的發展環境，鋒魁對此充滿期待。 林千惠指出，捷克的半導體發展擁有長期的科研基礎，尤其是在材料科學和精密工程領域的技術積累，這使得捷克成為進入歐洲半導體市場的重要門戶。未來若能通過與捷克方產學研的深度合作，鋒魁科技不僅有望能夠從市場面找到切入點，還能借助當地豐富的科研人才資源，加速產品的研發和生產，進一步提升競爭力。 鋒魁向來以技術的創新突破與智能整合作為公司成長的關鍵策略，近期上市的全新智能真空幫浦產品系列預期可以在歐洲市場擁有巨大的競爭優勢。林千惠表示，該系列產品不僅在技術上具備領先優勢，還針對當前半導體製造業面臨的核心需求進行了升級和創新。 鋒魁全新智能真空幫浦擁有三大主要特點： 智能6秒不斷電系統：該系統內置高容量電池組和智能控制器，能夠在電源故障的6秒內確保真空幫浦持續運行，避免生產線因電力中斷而停機，保障了工廠的生產效率和設備的穩定性，這在以高可靠性為導向的歐洲市場尤其具有吸引力。 智能控制系統：搭載了帆宣科技的先進「半導體故障預診斷技術」，這一技術能夠使機台故障預測的準確率達到95%以上，同時誤報率控制在1%以下。這一技術不僅提高了機台的運行效率，還降低了維護成本，使工廠能夠更為精確地管理生產設備，全面提升了工廠自動化和遠程管理的水平，這將大大滿足歐洲製造業者對智能化生產的需求。 客製化綠能節電解決方案：鋒魁科技根據不同客戶的需求，提供個性化的真空系統設計和整合服務，專注於提高設備的能源效率，這一特點符合歐洲市場對環保和可持續發展的高標準要求。透過綠能節電方案，鋒魁的產品不僅降低了生產成本，還減少了能源消耗，這在日益重視環境保護的歐洲市場中具有顯著優勢。 鋒魁的國際佈局行動，呼應台灣半導體供應鏈向國際市場進軍的總體趨勢，也展現對全球市場需求的深刻洞察。歐洲市場的高標準和技術要求為鋒魁科技的技術創新提供了廣闊的發展空間，而捷克憑藉其區位優勢和科技實力，將成為鋒魁拓展歐洲業務的理想跳板。 隨著鋒魁在美國和歐洲市場的雙重佈局不斷推進，鋒魁將在全球半導體供應鏈中扮演越來越重要的角色，成為台灣半導體全球化趨勢的受益者。林千惠表示，鋒魁科技將繼續加大對創新技術的投資，並與全球各地的合作夥伴緊密合作，力求在競爭激烈的全球市場中保持領先地位。 鋒魁科技總經理林千惠（前排右四）日前受新東向聯盟（TeaLa）邀請參加台灣半導體產業考察團，前往捷克進行深入考察。圖／業者提供 $(document).ready(function () {nstockStoryStockInfo();});",['https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2024/09/10/realtime/30476273.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600']
56128217702,蘋果新機亮相 法人看好台積電、日月光等供應鏈受惠,2024/09/10 08:58:06,經濟日報 記者周克威／台北即時報導,"http://b.scorecardresearch.com/p?c1=2&c2=7390954&cv=2.0&cj=1蘋果iPhone 16全系列導入Apple全新設計的A18系列晶片。(記者黃筱晴／攝影)
蘋果發表iPhone 16等新品，在新訂單貢獻下，市場看好供應鏈下半年業績優於上半年，包括台積電 （2330） 、新進供應鏈的聯詠 （3034） 、日月光投控 （3711） 、精材 （3374） 等，營運將受惠。 法人機構表示，蘋果iPhone 16全系列導入Apple全新設計的A18系列晶片，iPhone 16、iPhone 16 Plus使用A18晶片；iPhone 16 Pro、iPhone 16 Pro Max則採用A18 Pro晶片。蘋果為第一家大量採用台積電N3投片客戶，因此A18與A18 Pro晶片皆延續使用台積電第二代N3P製程，都內建6核心CPU與16核心神經網路引擎，主要差別為A18配備5核心GPU；A18 Pro則配備6核心GPU。 iPhone 16全系列導入蘋果全新設計的A18系列晶片，採用台積電第二代N3 製程和後段先進封測，因此除台積電外，台積電子公司精材也有相關訂單，由於台積電本身先進封測產能吃緊，部份訂單將會外溢至精材，使精材營收也將會明顯成長。 另外，日月光投控與蘋果合作關係密切，主要透過旗下EMS廠環旭承接蘋果系統級封裝模組訂單，包括手機天線及WiFi模組等系統級封裝服務，已有多年供貨經驗，近幾代iPhone內部零件都可見到環旭系統級封裝模組。除iPhone外，另外蘋果穿戴裝置產品，日月光投控皆有供應，因此，預期日月光投控在下半年EMS營收明顯優於上半年。 分析師指出，蘋果此次新品的螢幕規格仍沿用OLED面板，畫素升級，聯詠將供應新iPhoneOLED驅動IC，為聯詠首度打入iPhone供應鏈，聯詠第2~3季陸續把OLED驅動IC 交給LGD，使聯詠OLED驅動IC出貨量會比上半年增加，預估上、下半年占比達4：6。另外後段封測廠頎邦 （6147） 亦將受惠。",
